Name of DAO,Web Address,Category,Twitter,Discord,Blockchain,Contract Address
Dawn,https://www.thedaoist.co/dawn,Governance, https://twitter.com/TheDAOist_,https://discord.gg/NzCZHzWQGz,Ethereum,0xCD7FFc5a417F88ca4C959821f2446bD84f8b498F
GnosisDAO,https://gnosis.io/gnosisdao/,Gnosis Safe,https://twitter.com/gnosisPM,https://chat.gnosis.io/,Ethereum,0x0DA0C3e52C977Ed3cBc641fF02DD271c3ED55aFe
,,Governance,,,,
,,,,,,
Aurora DAO,https://aurora.dev/dao,Governance,https://twitter.com/auroraisnear,https://discord.gg/dEFJBz8HQV,Ethereum,0xcdcfc0f66c522fd086a1b725ea3c0eeb9f9e8814
MakerDAO,https://makerdao.com/en/,Governance,https://twitter.com/MakerDAO,https://discord.com/invite/RBRumCpEDH,Ethereum,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
xHashtag DAO,https://www.xhashtag.io/,Governance,https://twitter.com/xhashtagio,https://discord.com/invite/XBvvmuCTgY,Avalanche,0xA608D79C5f695C0D4C0E773A4938b57e18e0fc57
,,,,,Solana,5gs8nf4wojB5EXgDUWNLwXpknzgV2YWDhveAeBZpVLbp
BNB48 Club,https://www.bnb48.club/en/,Governance,https://twitter.com/bnb48club,https://discord.gg/FzA9Pzr,BSC,0xe6DF05CE8C8301223373CF5B969AFCb1498c5528
SpiderDAO,https://www.spiderdao.io/,Governance,https://twitter.com/spidervpn,,Ethereum,0xbcD4b7dE6fde81025f74426D43165a5b0D790Fdd
DAOStack,https://daostack.io/,Governance,https://twitter.com/daostack, https://daostack.io/community,Ethereum,0x543Ff227F64Aa17eA132Bf9886cAb5DB55DCAddf
dydx,https://dydx.foundation/,Gnosis Safe,https://twitter.com/dydxfoundation, http://discord.gg/invite/dydx,Ethereum,0x92D6C1e31e14520e676a687F0a93788B716BEff5
,,Governance,,,,
GovernorDAO,https://governordao.org/,Governance,https://twitter.com/Governor_DAO,https://discord.gg/MVh5NkN7gt,Ethereum,0x23f5d9e424375ae4fee44e3f56634fb47846a9a3f4255f54a3229c34298aa14e
DaoHaus,https://daohaus.club/,Governance,https://twitter.com/nowdaoit,https://discord.com/invite/daohaus,Ethereum,0xf2051511b9b121394fa75b8f7d4e7424337af687
PrimeDAO,https://www.prime.xyz/,Governance,https://twitter.com/PrimeDAO_,https://discord.gg/primedao,Ethereum,0xE59064a8185Ed1Fca1D17999621eFedfab4425c9
Colony,https://colony.io/,Gnosis Safe,https://twitter.com/joincolony,https://discord.gg/feVZWwysqM,Ethereum,0x3E828ac5C480069D4765654Fb4b8733b910b13b2
,,Governance,,,,
NFT DAO,https://dao.naffiti.com/,NFT,https://twitter.com/NFTDAOfficial,https://discord.io/NFTDAOfficial,Ethereum,0xd049206fb408a611e543791f2d8f102a8bc253dc
OpenDao,https://www.theopendao.com/,NFT,https://twitter.com/The_OpenDAO,https://discord.gg/opendao,Ethereum,0x3b484b82567a09e2588a13d54d032153f0c0aee0
,,,,,Solana,6Q5fvsJ6kgAFmisgDqqyaFd9FURYzHf8MCUbpAUaGZnE
The Super Rare DAO,https://superrare.com/the-superrare-dao,Gnosis Safe,https://twitter.com/SuperRare,https://discord.com/invite/HYB4YKZbga,Ethereum,0xba5BDe662c17e2aDFF1075610382B9B691296350
,,NFT,,,,
Defiant Pixel Society,https://www.defiantpixels.com,NFT,https://twitter.com/DefiantPixel,,Ethereum,0xeeaa20b7ee279240eba46c628b139aa56b1de1d7
xDai Punks,https://xdaipunks.com/,NFT,https://twitter.com/xDaiPunks,https://discord.gg/TTZKkY2Ygx,Gnosis Chain ,0x988d1Be68F2C5cDE2516a2287c59Bd6302b7D20D
MeetbitsDAO,https://meebitsdao.world/,NFT,https://twitter.com/squiggledao,https://discord.gg/8vYmh3qA3W,Ethereum,0x641927E970222B10b2E8CDBC96b1B4F427316f16
SquiggleDAO,https://squiggledao.com/,NFT,https://twitter.com/squiggledao,https://discord.gg/8vYmh3qA3W,Ethereum,0x373acdA15Ce392362e4b46ED97a7feEcD7EF9EB8
JennyDAO,https://jennynft.io/,NFT,https://twitter.com/JennyMetaverse,https://discord.gg/stgGTNAaXw,Ethereum,0xa499648fD0e80FD911972BbEb069e4c20e68bF22
Flamingo,https://flamingodao.xyz/,NFT,https://twitter.com/FLAMINGODAO,https://discord.gg/yZ6BPxkWfj,Ethereum,0x83461DcE424EF992cAC970F7F6656aA7628d8153
PleasrDAO,https://pleasr.org/,NFT,https://twitter.com/PleasrDAO,https://github.com/PleasrDAO,Ethereum,0xba962a81F78837751be8A177378D582f337084e6
Force Dao,https://www.forcedao.com/,Defi,https://twitter.com/force_dao,http://discord.gg/xqxp2SNPwm,Ethereum ,0x2C31b10ca416b82Cec4c5E93c615ca851213d48D
Honeyswap,https://honeyswap.org/,Defi,https://twitter.com/honeyswap,https://discord.gg/ruPtTTabDu,Ethereum,0xc3589f56b6869824804a5ea29f2c9886af1b0fce
,,Gnosis Safe,,,xDai, 0x71850b7e9ee3f13ab46d67167341e4bdc905eef9
PowerPool DAO,https://powerpool.finance/,Defi,https://twitter.com/powerpoolcvp/,https://discord.gg/c5NhqqjYjE,Ethereum,0x38e4adB44ef08F22F5B5b76A8f0c2d0dCbE7DcA1
,,Governance,,,Polygon,0x530d954549F3Efa00799784BC7FE0C3FED76Da19
Mantra DAO,https://www.mantradao.com/,Defi,https://twitter.com/MANTRADAO,,Ethereum,0x3593d125a4f7849a1b059e64f4517a86dd60c95d
,,Gnosis Safe,,,Polygon,0xc3ec80343d2bae2f8e680fdadde7c17e71e114ea
,,,,,BSC,0xf78d2e7936f5fe18308a3b2951a93b6c4a41f5e2
Nemesis DAO,https://nemesisdao.finance/,Defi,https://twitter.com/daoinvestorg,https://discord.com/invite/b8CUaukZn6,BSC,0x8ac9dc3358a2db19fdd57f433ff45d1fc357afb3
KeeperDAO,https://www.keeperdao.com/,Defi,https://twitter.com/Keeper_DAO,https://discord.gg/3JUgvyyNhA,Ethereum,0xfa5047c9c78b8877af97bdcb85db743fd7313d4a
DAO Invest,https://daoinvest.org/,Defi, https://twitter.com/daoinvestorg,,Ethereum,"
0x1f19f83fC9a25F3C861260143E36c17706257986"
,,,,,Polygon,0x381caf412B45dAc0f62FBEeC89DE306D3eABE384
,,,,,BSC,0x873801ae2ff12d816db9a7b082f5796bec64c82c
Wing Finance,https://wing.finance/,Defi,https://twitter.com/Wing_Finance,,Ethereum,"
 0xDb0f18081b505A7DE20B18ac41856BCB4Ba86A1a"
,,,,,BSC,0x3cb7378565718c64ab86970802140cc48ef1f969
Kyber,https://kyber.org/,Defi,https://twitter.com/KyberDAO/,https://discord.com/invite/NB3vc8J9uv,Ethereum,"

0x833e4083B7ae46CeA85695c4f7ed25CDAd8886dE"
,,Gnosis Safe,,,Polygon,0x5f1fe642060b5b9658c15721ea22e982643c095c
,,,,,BSC,"0x878dFE971d44e9122048308301F540910Bbd934c
"
,,,,,Avalanche, 0x10908C875D865C66f271F5d3949848971c9595C9
,,,,,Fantom,0x78df70615ffc8066cc0887917f2Cd72092C86409
Mai Finance,https://mai.finance/,Defi,https://twitter.com/QiDaoProtocol,https://discord.gg/mQq55j65xJ,Polygon," 

0xa3fa99a148fa48d14ed51d610c367c61876997f1"
,,,,,Solana,9mWRABuz2x6koTPCWiCPM49WUbcrNqGTHBV9T9k7y1o7
,,,,,Fantom,0xfb98b335551a418cd0737375a2ea0ded62ea213b
,,,,,Avalanche,0x5c49b268c9841aff1cc3b0a418ff5c3442ee3f3b
,,,,,Moonriver,0xFb2019DfD635a03cfFF624D210AEe6AF2B00fC2C
,,,,,Harmony,0x3F56e0c36d275367b8C502090EDF38289b3dEa0d
,,,,,Cronos,0x2Ae35c8E3D4bD57e8898FF7cd2bBff87166EF8cb
,,,,,Arbitrium,0x3F56e0c36d275367b8C502090EDF38289b3dEa0d
,,,,,Boba,0x3F56e0c36d275367b8C502090EDF38289b3dEa0d
,,,,,xDai,0x3F56e0c36d275367b8C502090EDF38289b3dEa0d
,,,,,METIS,0xdFA46478F9e5EA86d57387849598dbFB2e964b02
,,,,,BSC,0x3F56e0c36d275367b8C502090EDF38289b3dEa0d
,,,,,Aurora,0xdFA46478F9e5EA86d57387849598dbFB2e964b02
,,,,,Celo,0xB9C8F0d3254007eE4b98970b94544e473Cd610EC
,,,,,Iotex,0x3F56e0c36d275367b8C502090EDF38289b3dEa0d
Flurry Finance,https://www.flurry.finance/,Defi, https://twitter.com/FlurryFi, https://discord.gg/t78aN3dmD2,Ethereum,0x60F63B76E2Fc1649E57a3489162732A90ACf59FE
,,,,,Polygon,0x9cD733ffe21806b9a8943ee1C3889faE7eE8E1c7
,,,,,BSC,0x47c9BcEf4fE2dBcdf3Abf508f147f1bBE8d4fEf2
Kilma DAO,https://www.klimadao.finance/,Defi, https://twitter.com/KlimaDAO, https://discord.com/invite/klimadao,Polygon,0x7Dd4f0B986F032A44F913BF92c9e8b7c17D77aD7
0xDao,https://0x.org/,Defi, https://twitter.com/0xproject, https://discord.gg/d3FTX3M,Polygon,0xCD7FFc5a417F88ca4C959821f2446bD84f8b498F
,,Gnosis Safe,,,,
BadgerDao,https://app.badger.com/,Defi,https://twitter.com/BadgerDAO,https://discord.com/invite/badgerdao,Ethereum,"0x3472a5a71965499acd81997a54bba8d852c6e53d
"
,,Gnosis Safe,,,xDai,0xdfc20ae04ed70bd9c7d720f449eedae19f659d65
,,,,,Fantom,0x753fbc5800a8c8e3fb6dc6415810d627a387dfc9
,,,,,Harmony,0x06b19a0ce12dc71f1c7a6dd39e8983e089c40e0d
,,,,,Arbitrium,0xbfa641051ba0a0ad1b0acf549a89536a0d76472e
FilmmakerDao,https://www.filmmakerdao.com/,Gnosis Safe,https://twitter.com/filmmakerdao,https://discord.com/invite/TfQfnrHVap,Polygon,0xCD7FFc5a417F88ca4C959821f2446bD84f8b498F
